[EVAL][147/276] final13_Defocus_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.01543sec 
[EVAL][148/276] final13_Defocus_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.02998sec 
[EVAL][149/276] final13_Spherical_Abberation_0.2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.98998sec 
[EVAL][150/276] final13_Spherical_Abberation_0.4.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.11945sec 
[EVAL][151/276] final13_Spherical_Abberation_0.6.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.09282sec 
[EVAL][152/276] final13_Spherical_Abberation_0.9.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.19161sec 
[EVAL][153/276] final13_Vertical_Astigmatism_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.37606sec 
[EVAL][154/276] final13_Vertical_Astigmatism_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.95281sec 
[EVAL][155/276] final13_Vertical_Astigmatism_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.03431sec 
[EVAL][156/276] final13_Vertical_Astigmatism_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.17680sec 
[EVAL][157/276] final14_Defocus_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.00468sec 
[EVAL][158/276] final14_Defocus_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.48007sec 
[EVAL][159/276] final14_Defocus_1.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.99719sec 
[EVAL][160/276] final14_Defocus_2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 6.56730sec 
[EVAL][161/276] final14_Spherical_Abberation_0.2.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 6.10757sec 
[EVAL][162/276] final14_Spherical_Abberation_0.4.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.66346sec 
[EVAL][163/276] final14_Spherical_Abberation_0.6.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 4.98525sec 
[EVAL][164/276] final14_Spherical_Abberation_0.9.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.09424sec 
[EVAL][165/276] final14_Vertical_Astigmatism_0.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.07233sec 
[EVAL][166/276] final14_Vertical_Astigmatism_1.5.png PSNR: 0.00000, SSIM: 0.00000, LPIPS: 0.00000, Time: 5.08566sec 
